Recency,Frequency,Monetary,Cluster_KMeans,Cluster_Agglo,Cluster_DBSCAN,Cluster_MeanShift,Cluster_GMM
2.33485828570337,-0.9550131286465088,3.697686624769022,2,1,-1,4,3
-0.9051993140053222,1.074522962129674,1.4118199934798017,3,3,0,3,3
-0.1751863362931786,0.3864372603459435,0.7190460169372321,2,1,1,0,1
-0.7351962917983846,-0.9550131286465088,0.7013623859766631,2,1,1,0,1
2.174855441273311,-0.9550131286465088,-0.6114490674536084,1,2,2,2,2
-0.5651932695914471,1.2469574237058587,0.9823294442822084,3,3,0,3,3
1.1148365969241711,-0.9550131286465088,-1.6537570860460558,1,2,2,2,2
1.394841574676774,-0.9550131286465088,0.3153772161905292,1,2,2,2,2
1.214838374692958,-0.9550131286465088,-0.3604644554439395,1,2,2,2,2
-0.69519558069087,0.0597549167415828,1.0734035260127848,2,1,1,0,1
-0.5951938029220831,-0.9550131286465088,1.700839904109552,2,1,1,0,1
-0.9051993140053222,-0.361411875164371,0.3778664256374053,2,1,1,0,1
-0.3451893585001161,0.3864372603459435,1.7137960721802,2,1,1,0,1
-0.4051904251613882,0.0597549167415828,1.0301642216380935,2,1,1,0,1
1.9448513524051012,-0.9550131286465088,-1.057980037851846,1,2,2,2,2
-0.8951991362284435,1.540739487763732,1.5645092268386749,3,3,0,3,3
0.1748198858975752,-0.361411875164371,-0.2152620748425432,0,0,3,1,0
-0.8451982473440501,0.3864372603459435,0.4705298294078107,2,1,1,0,1
1.984852063512616,-0.361411875164371,-0.0965551061295731,1,2,2,2,2
-0.8851989584515648,-0.9550131286465088,-1.1503167590128218,0,0,3,1,0
-0.4151906029382669,0.3864372603459435,1.2563565317110723,2,1,1,0,1
-0.4751916695995389,-0.361411875164371,0.7580424195144596,2,1,1,0,1
-0.2051868696238146,0.0597549167415828,0.4613971619667561,2,1,1,0,1
2.184855619050189,-0.9550131286465088,-0.5431384256244645,1,2,2,2,2
-0.6751952251371125,-0.9550131286465088,0.0197312367407702,0,0,3,1,0
-0.815197714013414,-0.361411875164371,-0.3637410032544363,0,0,3,1,0
2.224856330157704,-0.361411875164371,0.6407898379314015,1,2,2,2,2
0.3748234414351488,-0.9550131286465088,1.3543978614205308,2,1,1,0,1
-0.1051850918550278,-0.361411875164371,0.1283534758430289,0,0,3,1,0
-0.7051957584677486,0.3864372603459435,1.0486171881831805,2,1,1,0,1
-0.8751987806746861,0.6533561702237206,0.7399479251517996,2,1,1,0,1
0.9248332191634762,0.6533561702237206,0.7421976970980262,2,1,1,0,1
-0.6351945140295978,-0.361411875164371,-0.1689728206960742,0,0,3,1,0
2.454860419025914,-0.361411875164371,-0.4661656973942661,1,2,2,2,2
-0.7651968251290207,0.8790328929324327,1.0646872099857188,2,1,1,0,1
-0.1251854474087851,-0.9550131286465088,-0.2183629102820969,0,0,3,1,0
-0.7051957584677486,-0.9550131286465088,-0.3951855551115597,0,0,3,1,0
-0.2051868696238146,0.3864372603459435,0.6183360828141771,2,1,1,0,1
-0.285188291838844,-0.361411875164371,0.4456520076131682,2,1,1,0,1
-0.7351962917983846,1.7853068058198964,1.1297259236149846,3,3,0,3,3
-0.5651932695914471,-0.361411875164371,0.9513476357978234,2,1,1,0,1
-0.4651914918226603,-0.9550131286465088,0.6444484447007732,0,0,3,1,0
0.2648214858894833,0.3864372603459435,0.336542700301266,2,1,1,0,1
2.10485419683516,-0.9550131286465088,-1.696253333088626,1,2,2,2,2
2.304857752372734,-0.9550131286465088,-0.9221473996920778,1,2,2,2,2
-0.4251907807151455,-0.9550131286465088,-0.4169872103389002,0,0,3,1,0
0.5648268191958437,-0.9550131286465088,0.679824200395922,0,0,3,1,0
-0.7051957584677486,-0.361411875164371,1.2275170418502412,2,1,1,0,1
-0.4251907807151455,0.6533561702237206,0.6787725640254629,2,1,1,0,1
-0.5951938029220831,0.6533561702237206,1.094837285649374,2,1,1,0,1
-0.1351856251856638,0.0597549167415828,2.1592948110876957,2,1,1,0,1
2.1648552634964324,-0.361411875164371,-0.0349385112271795,1,2,2,2,2
-0.1751863362931786,0.0597549167415828,0.4167606931966667,2,1,1,0,1
-0.255187758508208,0.0597549167415828,0.0357254624451661,2,1,1,0,1
1.2448389080235938,0.0597549167415828,-0.2004856237733975,1,2,2,2,2
-0.6851954029139912,2.555507533151824,4.079139353077401,3,3,0,3,3
-0.8951991362284435,1.4012053057340357,1.279965820429521,3,3,0,3,3
0.2048204192282112,-0.9550131286465088,-0.0636971090388116,0,0,3,1,0
